codigo,disciplina,tema,papel,titulo,canal,url,duracao,data_publicacao,fonte_prioridade,edital_especifico,nota_aderencia
AC-10,Conhecimentos Específicos - Administração e Controle,Logística e Gestão da Cadeia de Suprimentos,principal,"Hora da Verdade Petrobras: Logística, Suprimentos, Estoques, Almoxarifados(Suprimento Bens Serviços)",Estratégia Concursos,https://www.youtube.com/watch?v=-d_nHCLAF4E,3:36:16,~2 anos atrás (data exata não confirmada na busca),estrategia_concursos,NAO,"Aula ao vivo completa de revisão para concursos de estatal (Petrobras) cobrindo diretamente logística, cadeia de suprimentos, estoques e almoxarifados; conteúdo extenso e diretamente aplicável ao código, apesar de não ser específico do edital Transpetro 2026."
AC-10,Conhecimentos Específicos - Administração e Controle,Logística e Gestão da Cadeia de Suprimentos,complementar_aprofundamento,Logística de Transportes - Aula: Fundamentos de Logística (Aula 1) - Concursos Petrobras | CPWS,CPWS - Concursos Petrobras e Transpetro,https://www.youtube.com/watch?v=zDyog0iIRwk,2:09:22,~1 ano atrás (data exata não confirmada na busca),outro_canal_concursos,NAO,"Primeira aula de uma série de 4 sobre fundamentos de logística voltada a concursos de Petrobras/Transpetro; aprofunda conceitos e aplicações de logística e cadeia de suprimentos além de uma introdução."
AC-10,Conhecimentos Específicos - Administração e Controle,Logística e Gestão da Cadeia de Suprimentos,complementar_questoes,Sprint de Questões Cesgranrio para Transpetro: Monitoramento Logístico - Prof. Daniel Almeida,Estratégia Concursos,https://www.youtube.com/watch?v=VTGkFkJcadg,50:11,~4 dias antes da consulta (agosto/2026),estrategia_concursos,SIM,"Sprint de resolução de questões estilo Cesgranrio preparado especificamente para o edital Transpetro 2026, cobrindo o eixo de Monitoramento Logístico (que inclui cadeia de suprimentos); treino de questões objetivas."
AC-11,Conhecimentos Específicos - Administração e Controle,Modalidades de transporte,principal,Logística de Transporte - Logística Internacional e Aduaneira (Aula 1): Modais | CPWS Concursos,CPWS - Concursos Petrobras e Transpetro,https://www.youtube.com/watch?v=547BQhUqAwk,2:53:22,28/05/2025 (aprox., conforme indexação de busca),outro_canal_concursos,NAO,"Aula dedicada especificamente aos modais de transporte (rodoviário, ferroviário, hidroviário, aeroviário, dutoviário) dentro de um curso de logística internacional para concursos de Petrobras/Transpetro."
AC-11,Conhecimentos Específicos - Administração e Controle,Modalidades de transporte,complementar_aprofundamento,Logística de Transporte - Logística Internacional e Aduaneira (Aula 2): Convenções | CPWS Concursos,CPWS - Concursos Petrobras e Transpetro,https://www.youtube.com/watch?v=9zNR8n7ZAxg,2:58:05,29/05/2025 (aprox., conforme indexação de busca),outro_canal_concursos,NAO,"Continuação da aula de modais, aprofundando convenções internacionais de transporte (base de intermodalidade/multimodalidade e regulação internacional), complementando a aula 1 do mesmo curso."
AC-11,Conhecimentos Específicos - Administração e Controle,Modalidades de transporte,complementar_revisao,Concurso ANTT: Legislação Aplicada a Regulação em Transporte Terrestre - Prof. Nick Simonek,Estratégia Concursos,https://www.youtube.com/watch?v=5uhqjQPk76I,2:16:25,01/02/2024,estrategia_concursos,NAO,"Aula da Estratégia Concursos sobre legislação e regulação de transporte terrestre (foco em concurso ANTT), diretamente aplicável ao subtema 'regulação e legislação do transporte' do código, servindo como revisão do arcabouço normativo."
AC-12,Conhecimentos Específicos - Administração e Controle,Gestão de Estoques,principal,"Gestão de estoque: conceito, importância, como fazer, técnicas e benefícios (AULA COMPLETA)",SAC Logística,https://www.youtube.com/watch?v=mFOStDt24Ng,36:30,16/05/2021,fora_do_universo_concursos,NAO,"Aula completa e didática sobre gestão de estoques (conceito, técnicas, benefícios), cobrindo classificação e métodos de gestão de estoque exigidos pelo código. Usado como principal após não se localizar aula específica e completa sobre o tema nos canais de concursos prioritários (Estratégia Concursos, CPWS) apesar de 3 buscas com termos distintos."
AC-12,Conhecimentos Específicos - Administração e Controle,Gestão de Estoques,complementar_aprofundamento,Gestão de ESTOQUE usando CURVA ABC (passo a passo),Ser Logístico,https://www.youtube.com/watch?v=CiFwih4XHNU,16:02,07/10/2024,fora_do_universo_concursos,NAO,"[Nome do canal corrigido de 'Ser Logística' para 'Ser Logístico' em 2026-08-20, após verificação via oEmbed.] Aprofunda o método de classificação ABC de estoques (critério de classificação e priorização), tema central do código em 'classificação e métodos de gestão'."
AC-12,Conhecimentos Específicos - Administração e Controle,Gestão de Estoques,complementar_questoes,QUESTÃO DE ESTOQUE - PONTO DE PEDIDO E ESTOQUE DE SEGURANÇA ADMINISTRAÇÃO DE MATERIAIS,Joselias Silva,https://www.youtube.com/watch?v=J0lRz83b_Go,11:18,04/11/2014,fora_do_universo_concursos,NAO,"Resolução de questão sobre ponto de pedido e estoque de segurança, conceitos diretamente ligados a 'políticas de estoque e níveis de serviço' do código; formato de treino de questão."
AC-13,Conhecimentos Específicos - Administração e Controle,Armazenagem,principal,"TÉCNICAS DE ARMAZENAGEM: Conceito, tipos e importância (Aula completa)",SAC Logística,https://www.youtube.com/watch?v=JNOfOOTO_Io,27:43,12/09/2022,fora_do_universo_concursos,NAO,"Aula completa sobre conceito, tipos e importância da armazenagem, cobrindo diretamente 'tipos de armazéns e funções' do código. Usado após busca não localizar aula equivalente em Estratégia Concursos, Adriane Fauth (não cobre logística) ou CPWS especificamente sobre tipos/layout de armazém."
